,baseline_share,recent_share,change
Legal,0.013045428261871155,0.005067567567567568,-0.007977860694303587
Marketplace,0.016287935160825773,0.008262780853142299,-0.008025154307683474
Data Science,0.011160788795179255,0.0030120481927710845,-0.00814874060240817
DevOps,0.012949233275563632,0.004701237381960274,-0.008247995893603359
Real Estate,0.014743448395197792,0.006390426571149463,-0.008353021824048328
Education,0.01638298022976826,0.007713285574731358,-0.0086696946550369
AI-Enhanced Learning,0.013571906875476367,0.00488440247476392,-0.008687504400712446
Therapeutics,0.009993141182996185,0.0012690355329949238,-0.00872410565000126
Security,0.015024334119634282,0.006153438007758845,-0.008870896111875437
Marketing,0.023267269458860984,0.014286877238684468,-0.008980392220176516
Logistics,0.021405717408692723,0.012354290215735999,-0.009051427192956724
AIOps,0.019388185825788516,0.010238538099983884,-0.009149647725804632
Data Engineering,0.01925739293442424,0.00993490752526897,-0.00932248540915527
Energy,0.010591085441659672,0.0012626262626262627,-0.00932845917903341
Proptech,0.01424551902007197,0.00488440247476392,-0.00936111654530805
HR Tech,0.01233608373236042,0.002958224722184113,-0.009377859010176307
Documents,0.009707109101226475,0.0,-0.009707109101226475
Hard Tech,0.01740544320462102,0.007653052833775726,-0.009752390370845295
Insurance,0.014282319984260716,0.0042746744553973474,-0.010007645528863369
Workflow Automation,0.023891950535349874,0.01386031431212154,-0.010031636223228333
Manufacturing,0.023664712478929643,0.013629735019099583,-0.01003497745983006
Crypto / Web3,0.01362907611022196,0.0031952132855747315,-0.01043386282464723
Digital Health,0.020587728589069564,0.009288418552377943,-0.01129931003669162
Enterprise Software,0.03658955092112293,0.024941325018537422,-0.011648225902585511
Climate,0.014271042166995526,0.0,-0.014271042166995526
Finance,0.027047499861075144,0.012720620401343292,-0.014326879459731852
Automation,0.031776044018305985,0.016338152637155757,-0.015437891381150228
Biotech,0.0262269535746526,0.010611277555959838,-0.015615676018692763
Compliance,0.023986024338546356,0.00801938301938302,-0.01596664131916334
Productivity,0.03647745207048586,0.02006757579046736,-0.016409876280018502
Payments,0.024789865619920047,0.004457839548200994,-0.020332026071719054
API,0.03398609489105677,0.010184714629396912,-0.023801380261659857
Enterprise,0.031478386575166856,0.007659462104144386,-0.02381892447102247
AI Assistant,0.0531246418790235,0.029302170872258327,-0.023822471006765173
Health Tech,0.03477652951529381,0.009951970042331488,-0.024824559472962318
Analytics,0.03675276428036536,0.01145799413871703,-0.025294770141648333
Machine Learning,0.045144178878348706,0.0182579211193669,-0.026886257758981805
Open Source,0.04288770150136808,0.013866723582490203,-0.029020977918877876
Sales,0.04046610912959864,0.009585639856724195,-0.030880469272874442
Consumer,0.06300875435078288,0.02785637951682842,-0.035152374833954454
Healthcare,0.048815544681029485,0.010794442648763485,-0.038021102032265996
Fintech,0.09209916487067304,0.0195807801229488,-0.07251838474772425
Generative AI,0.09712302250733298,0.024178614540060324,-0.07294440796727267
Developer Tools,0.13985719591520343,0.06413276632223486,-0.07572442959296857
Artificial Intelligence,0.2876206435273052,0.17456940764383735,-0.11305123588346785
AI,0.2803062532139263,0.16576384235854602,-0.1145424108553803
B2B,0.2533822598320914,0.1323227479234757,-0.12105951190861569
SaaS,0.18954719587595092,0.05557917343511497,-0.13396802244083594
